This file contains data on GBBC bird observations from Ohio!
order,species,lat,year,month,day
Passeriformes,Passer domesticus,40.017075,2000,02,19
Passeriformes,Passer domesticus,39.9621,2000,02,21
Passeriformes,Spinus pinus,40.83029,2009,02,13
Columbiformes,Zenaida macroura,41.31755,2008,02,18
Passeriformes,Baeolophus bicolor,41.569157,2002,02,17
Passeriformes,Passer domesticus,41.01733,2000,02,20
Passeriformes,Melospiza melodia,39.161961,2009,02,15
Passeriformes,Cyanocitta cristata,39.94021,2009,02,16
Passeriformes,Cardinalis cardinalis,41.2318,2008,02,15
Columbiformes,Zenaida macroura,39.52976,2005,02,21
Passeriformes,Passer domesticus,39.36006,2007,02,18
Passeriformes,Poecile atricapillus,41.7721,2009,02,13
Passeriformes,Baeolophus bicolor,41.13358,2008,02,17
Piciformes,Picoides villosus,39.3125,1999,02,19
Passeriformes,Cardinalis cardinalis,39.205044,2001,02,18
Passeriformes,Corvus brachyrhynchos,40.049294,2000,02,19
Passeriformes,Cyanocitta cristata,41.6761,2006,02,20
Passeriformes,Spinus tristis,41.246994,2005,02,18
Passeriformes,Haemorhous mexicanus,39.947269,2007,02,17
Passeriformes,Haemorhous mexicanus,41.253822,2001,02,16
Accipitriformes,Circus cyaneus,39.248672,2005,02,21
Passeriformes,Melospiza melodia,41.3127,2006,02,18
Passeriformes,Poecile atricapillus,38.930103,2004,02,15
Passeriformes,Poecile carolinensis,39.068222,2005,02,19
Passeriformes,Junco hyemalis,41.709156,2002,02,16
Passeriformes,Haemorhous mexicanus,41.139271,2005,02,19
Columbiformes,Zenaida macroura,40.85997,1999,02,20
Passeriformes,Sturnus vulgaris,39.242363,2007,02,16
Passeriformes,Certhia americana,41.66615,2009,02,14
Anseriformes,Branta canadensis,39.527702,2001,02,16
Passeriformes,Haemorhous mexicanus,40.805298,2003,02,14
Passeriformes,Sitta carolinensis,40.15332,2008,02,16
Piciformes,Melanerpes carolinus,40.885406,2004,02,15
Anseriformes,Anas rubripes,41.2476,2009,02,15
Pelecaniformes,Ardea herodias,40.90961,2005,02,19
Passeriformes,Turdus migratorius,39.242363,2003,02,16
Piciformes,Dendrocopos pubescens,39.80544,2009,02,15
Passeriformes,Junco hyemalis,40.69208,2009,02,16
Columbiformes,Zenaida macroura,40.81192,2009,02,15
Passeriformes,Sturnus vulgaris,41.2409,2002,02,15
Passeriformes,Passer domesticus,39.242363,2002,02,18
Passeriformes,Sturnus vulgaris,41.01862,2002,02,17
Passeriformes,Baeolophus bicolor,41.72444,2004,02,15
Piciformes,Dendrocopos pubescens,41.387299,2007,02,19
Passeriformes,Corvus brachyrhynchos,41.48521,2005,02,20
Passeriformes,Junco hyemalis,41.31125,2001,02,17
Passeriformes,Poecile carolinensis,40.48869,2008,02,17
Accipitriformes,Accipiter cooperii,40.0884,2002,02,18
Passeriformes,Passer domesticus,39.90075,2001,02,18
Passeriformes,Corvus brachyrhynchos,41.569157,2002,02,16
Passeriformes,Corvus brachyrhynchos,41.7023,1999,02,20
Passeriformes,Cardinalis cardinalis,40.76263,2004,02,14
Passeriformes,Quiscalus quiscula,41.64958,2001,02,17
Passeriformes,Turdus migratorius,39.953007,2009,02,13
Passeriformes,Sturnus vulgaris,41.385464,2002,02,15
Passeriformes,Sturnus vulgaris,41.51492,2002,02,15
Passeriformes,Haemorhous mexicanus,41.70685,2005,02,19
Passeriformes,Melospiza melodia,40.79676,2006,02,18
Piciformes,Picoides villosus,41.61425,2006,02,18
Piciformes,Melanerpes carolinus,41.139271,2008,02,16
Passeriformes,Melospiza melodia,40.621033,2006,02,19
Columbiformes,Zenaida macroura,40.09612,2000,02,18
Passeriformes,Thryothorus ludovicianus,39.242363,2001,02,17
Anseriformes,Branta canadensis,40.96366,2006,02,18
Piciformes,Melanerpes carolinus,40.87586,2009,02,16
Passeriformes,Cardinalis cardinalis,41.569157,2004,02,13
Passeriformes,Mimus polyglottos,38.820847,2001,02,16
Passeriformes,Melospiza melodia,41.62175,2004,02,15
Passeriformes,Spizelloides arborea,41.042496,2000,02,20
Passeriformes,Cyanocitta cristata,41.01862,2006,02,18
Passeriformes,Junco hyemalis,39.207272,2001,02,17
Passeriformes,Haemorhous purpureus,41.01733,2001,02,18
Passeriformes,Junco hyemalis,40.57227,2003,02,14
Passeriformes,Quiscalus quiscula,39.204022,2007,02,19
Passeriformes,Sturnus vulgaris,41.6495,2003,02,14
Passeriformes,Poecile carolinensis,39.691383,2002,02,15
Passeriformes,Passer domesticus,41.32097,2000,02,18
Passeriformes,Cyanocitta cristata,41.6758,2002,02,15
Passeriformes,Spinus tristis,38.9506,2000,02,21
Passeriformes,Cardinalis cardinalis,41.246994,2003,02,16
Passeriformes,Corvus brachyrhynchos,41.31356,2000,02,18
Piciformes,Dendrocopos pubescens,41.03227,2005,02,19
Passeriformes,Cyanocitta cristata,40.86166,2002,02,16
Passeriformes,Junco hyemalis,39.167744,2003,02,16
Piciformes,Dendrocopos pubescens,41.499451,2006,02,19
Accipitriformes,Buteo jamaicensis,40.621033,2003,02,17
Passeriformes,Corvus brachyrhynchos,40.04618,2001,02,19
Passeriformes,Cardinalis cardinalis,40.85997,2000,02,19
Passeriformes,Junco hyemalis,41.569157,2009,02,14
Passeriformes,Spinus tristis,39.26749,2000,02,19
Passeriformes,Sturnus vulgaris,41.64316,2008,02,18
Passeriformes,Spizelloides arborea,40.69208,2000,02,19
Passeriformes,Passer domesticus,39.947269,2005,02,21
Passeriformes,Cardinalis cardinalis,38.9506,2000,02,20
Passeriformes,Sturnus vulgaris,39.96116,2004,02,16
Passeriformes,Cardinalis cardinalis,39.95501,2008,02,17
Passeriformes,Passerella iliaca,40.95915,2000,02,19
Passeriformes,Cardinalis cardinalis,39.87756,2004,02,16
Columbiformes,Zenaida macroura,39.344563,2008,02,16
Passeriformes,Pipilo erythrophthalmus,38.820847,2008,02,18
Columbiformes,Zenaida macroura,41.451466,2008,02,15
Passeriformes,Cardinalis cardinalis,41.139271,2005,02,20
Passeriformes,Cardinalis cardinalis,40.215061,2004,02,15
Anseriformes,Branta canadensis,41.027554,2008,02,15
Piciformes,Dendrocopos pubescens,39.953007,2007,02,18
Passeriformes,Zonotrichia albicollis,39.161961,2006,02,18
Passeriformes,Junco hyemalis,40.885406,2001,02,18
Passeriformes,Spinus tristis,41.38945,2007,02,19
Passeriformes,Spinus tristis,39.485252,2000,02,18
Passeriformes,Thryothorus ludovicianus,41.30836,2007,02,17
Passeriformes,Sturnus vulgaris,41.02978,2005,02,20
Piciformes,Colaptes auratus,39.68572,1999,02,20
Passeriformes,Cardinalis cardinalis,39.931759,2002,02,18
Anseriformes,Branta canadensis,41.03227,2001,02,16
Piciformes,Dendrocopos pubescens,41.46318,2001,02,16
Piciformes,Melanerpes carolinus,41.55195,2007,02,16
Piciformes,Dendrocopos pubescens,40.79896,2004,02,16
$ Note: "Dendrocopos pubescens" is incorrect, the Downy woodpecker is now placed in the genus "Dryobatus"
Passeriformes,Zonotrichia leucophrys,41.03028,2009,02,15
Passeriformes,Haemorhous mexicanus,39.613586,2009,02,13
Passeriformes,Poecile carolinensis,39.252476,2008,02,16
Columbiformes,Zenaida macroura,39.285053,2007,02,17
Passeriformes,Junco hyemalis,41.63804,1999,02,20
Passeriformes,Haemorhous mexicanus,40.54146,2007,02,17
Passeriformes,Cardinalis cardinalis,39.967384,2007,02,16
Passeriformes,Turdus migratorius,40.09612,2004,02,14
Passeriformes,Sitta carolinensis,41.8499,2009,02,13
Passeriformes,Cyanocitta cristata,41.2318,1998,02,21
Passeriformes,Passer domesticus,39.161961,2008,02,15
Passeriformes,Cyanocitta cristata,40.95915,2007,02,18
Passeriformes,Poecile carolinensis,39.31411,2008,02,16
Passeriformes,Passer domesticus,41.15946,2008,02,17
Passeriformes,Sitta carolinensis,41.63804,2001,02,18
Passeriformes,Spinus tristis,39.8251,2004,02,14
Passeriformes,Cardinalis cardinalis,41.1395,2009,02,16
Passeriformes,Poecile atricapillus,41.45319,2008,02,18
Passeriformes,Spinus tristis,40.24123,2007,02,18
Columbiformes,Zenaida macroura,40.79896,2009,02,14
Columbiformes,Zenaida macroura,41.174519,1999,02,20
Piciformes,Dendrocopos pubescens,39.242363,2005,02,18
Piciformes,Melanerpes carolinus,41.01862,1999,02,20
Piciformes,Dendrocopos pubescens,39.185413,2007,02,18
Passeriformes,Junco hyemalis,41.380486,2007,02,18
Passeriformes,Passer domesticus,41.067753,2002,02,18
Passeriformes,Passer domesticus,41.2477,2001,02,18
Passeriformes,Sturnus vulgaris,39.71305,2000,02,21
Anseriformes,Branta canadensis,39.167744,2003,02,17
Passeriformes,Sitta canadensis,41.622204,2005,02,21
Passeriformes,Baeolophus bicolor,40.829292,2007,02,16
Piciformes,Melanerpes carolinus,40.2049,2003,02,16
Accipitriformes,Accipiter cooperii,39.60066,2007,02,17
Passeriformes,Junco hyemalis,41.43145,2005,02,19
Passeriformes,Cardinalis cardinalis,39.15337,2009,02,13
Piciformes,Dendrocopos pubescens,41.31356,2002,02,17
Piciformes,Melanerpes carolinus,40.621033,2007,02,16
Passeriformes,Baeolophus bicolor,41.01862,2007,02,18
Passeriformes,Corvus brachyrhynchos,41.387299,2009,02,15
Coraciiformes,Megaceryle alcyon,39.88256,2009,02,13
Passeriformes,Sitta carolinensis,39.91497,1999,02,19
Passeriformes,Certhia americana,40.293957,2007,02,17
Passeriformes,Haemorhous mexicanus,39.068222,2002,02,16
Passeriformes,Sitta carolinensis,39.106659,2006,02,20
Passeriformes,Cyanocitta cristata,39.6976,2003,02,17
Columbiformes,Zenaida macroura,39.68572,1999,02,20
Piciformes,Dendrocopos pubescens,41.569157,2005,02,18
Passeriformes,Sitta carolinensis,40.189564,2006,02,17
Passeriformes,Sturnus vulgaris,39.161961,2004,02,13
Passeriformes,Passer domesticus,41.123222,2001,02,19
Strigiformes,Bubo virginianus,40.86668,2002,02,15
Passeriformes,Sturnus vulgaris,38.820847,2003,02,15
Accipitriformes,Buteo jamaicensis,41.569157,2001,02,18
Columbiformes,Zenaida macroura,41.709156,1999,02,21
Piciformes,Dendrocopos pubescens,41.6758,2001,02,19
Passeriformes,Corvus brachyrhynchos,40.86866,2009,02,15
Passeriformes,Melospiza melodia,40.696785,2008,02,15
