This file contains data on GBBC bird observations from Ohio!
order,species,lat,year,month,day
Passeriformes,Quiscalus quiscula,40.96308,2007,02,16
Passeriformes,Melospiza melodia,40.72976,2005,02,20
Piciformes,Picoides villosus,40.06983,2000,02,20
Passeriformes,Cardinalis cardinalis,39.798763,2000,02,20
Passeriformes,Poecile carolinensis,39.243076,1999,02,22
Passeriformes,Spizella pusilla,39.18817,2007,02,17
Passeriformes,Sitta carolinensis,39.31411,2006,02,18
Passeriformes,Spinus tristis,41.42299,2007,02,17
Piciformes,Melanerpes carolinus,41.072838,2003,02,17
Passeriformes,Spizelloides arborea,39.161961,2006,02,20
Passeriformes,Quiscalus quiscula,40.017075,1999,02,21
Anseriformes,Cygnus olor,39.161961,2005,02,20
Piciformes,Melanerpes carolinus,39.18129,2000,02,18
Piciformes,Melanerpes carolinus,41.535007,2009,02,16
Passeriformes,Cardinalis cardinalis,39.3544,2007,02,18
Piciformes,Melanerpes carolinus,39.68572,1999,02,21
Passeriformes,Passer domesticus,41.6758,2008,02,17
Passeriformes,Cardinalis cardinalis,41.385796,2007,02,17
Passeriformes,Sitta carolinensis,40.05816,2006,02,18
Piciformes,Dendrocopos pubescens,39.671574,2000,02,18
Passeriformes,Spizelloides arborea,41.072838,2004,02,15
Passeriformes,Passer domesticus,39.63792,2001,02,19
Piciformes,Melanerpes carolinus,39.0769,2009,02,14
Passeriformes,Cyanocitta cristata,40.44251,2003,02,17
Passeriformes,Poecile atricapillus,39.09231,2000,02,20
Columbiformes,Zenaida macroura,41.2476,2007,02,17
Passeriformes,Cardinalis cardinalis,39.91497,2000,02,18
