class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,adult_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter melanoleucus,NA,Black Sparrowhawk,1090.404,2.8,1,701.8833333,10,50.75,37.5,40,7.5,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter meyerianus,NA,Meyer's Goshawk,NA,3,NA,815,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter minullus,NA,Little Sparrowhawk,363.468,2,NA,84.05,NA,17.95,31.5,25.5,NA,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus,NA,Eurasian Sparrowhawk,365,4.75,1,212,20.25,22.5,34,26.5,17.89166667,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter novaehollandiae,NA,Grey Goshawk,NA,2.725,NA,479.5833333,NA,40.5,NA,NA,NA,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter ovampensis,NA,Ovambo Sparrowhawk,NA,3,NA,199.1666667,NA,NA,33,33,NA,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter poliocephalus,NA,Grey-headed Goshawk,NA,1,NA,225,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter rhodogaster,NA,Vinous-breasted Sparrowhawk,NA,NA,NA,188.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter rufitorques,NA,Fiji Goshawk,NA,2.7,NA,209,NA,NA,NA,NA,NA,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter rufiventris,NA,Rufous-breasted Sparrowhawk,NA,3,NA,198,NA,23,NA,29,NA,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter soloensis,NA,Chinese Sparrowhawk,726.936,3.5,NA,161,NA,17,NA,NA,NA,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,NA,Sharp-shinned Hawk,547.875,4.25,1,138.5,19.9,19.3,33,24.25,12.58333333,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter superciliosus,NA,Tiny Hawk,NA,1.85,NA,73.9,NA,NA,NA,NA,NA,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter tachiro,NA,African Goshawk,NA,2.45,1.5,298.5,NA,34,29,32,NA,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter toussenelii,NA,Red-chested Goshawk,NA,2.45,1.5,298.5,NA,34,29,32,NA,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter trinotatus,NA,Spot-tailed Sparrowhawk,NA,NA,NA,146.25,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter trivirgatus,NA,Crested Goshawk,NA,2,NA,276,NA,NA,NA,NA,NA,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter ventralis,NA,Plain-breasted Hawk,547.875,4.25,1,138.5,19.9,19.3,33,24.25,12.58333333,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter virgatus,NA,Besra,NA,3.5,NA,113.5,NA,18,NA,NA,NA,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aegypius,Aegypius monachus,NA,Cinereous Vulture,1999.074,1,1,9625,39,243,53.5,112.5,32.25,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aegypius,Aegypius occipitalis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila adalberti,NA,Spanish Imperial Eagle,1767.453,2.5,1,3262,56,132,43,71,44.5,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila africana,NA,Cassin's Hawk-Eagle,NA,NA,NA,1060.125,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila audax,NA,Wedge-tailed Eagle,1638.279,2,2,3466,40,143,43,79,33.2,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila ayresii,NA,NA,NA,1.5,1,812,NA,72,45,75,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,NA,Golden Eagle,1460,2,1,4383,48,142,44,74.5,32,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila fasciata,NA,Bonelli's Eagle,1090.404,2,1,2000,20,112,39.25,62.5,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila gurneyi,NA,Gurney's Eagle,NA,NA,NA,3060,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila heliaca,NA,Eastern Imperial Eagle,1635.606,2.5,1,3262,56,132.25,43,70.5,56,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila nipalensis,NA,Steppe Eagle,1453.872,2,1,2534.5,42.5,117,44.5,84,40.65,68.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Aquila,Aquila rapax,NA,Tawny Eagle,1453.872,2,1,2347,42.5,105.4,44.5,84,40.3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
