class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,adult_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Lamprotornis,Lamprotornis superbus,NA,Superb Starling,NA,3.75,NA,64.9,NA,4.5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Lamprotornis,Lamprotornis unicolor,NA,Ashy Starling,NA,3,NA,60.8,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Leucopsar,Leucopsar rothschildi,NA,Bali Myna,NA,3,NA,91.9,25,7.2,13,NA,24.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Mino,Mino anais,NA,Golden Myna,NA,2,NA,152,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Mino,Mino dumontii,NA,Yellow-faced Myna,NA,1.4,NA,220,NA,11.9,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Mino,Mino kreffti,NA,Long-tailed Myna,NA,1.4,NA,217,NA,11.9,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Neocichla,Neocichla gutturalis,NA,Babbling Starling,NA,NA,NA,66.7,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Notopholia,Notopholia corrusca,NA,Black-bellied Starling,NA,2.85,NA,54,NA,4.9,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus albirostris,NA,White-billed Starling,NA,3.2,NA,135,NA,7,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus blythii,NA,Somali Starling,NA,4.5,NA,100,NA,9.6,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus frater,NA,Socotra Starling,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus fulgidus,NA,Chestnut-winged Starling,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus morio,NA,Red-winged Starling,NA,3.05,NA,133.5,NA,9.4,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus nabouroup,NA,Pale-winged Starling,NA,3.3,NA,101.75,NA,8.9,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus neumanni,NA,Neumann's Starling,NA,3.05,NA,133.5,NA,9.4,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus salvadorii,NA,Bristle-crowned Starling,NA,NA,NA,147.75,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus tenuirostris,NA,Slender-billed Starling,NA,2.95,NA,122,NA,8.1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus tristramii,NA,Tristram's Starling,NA,2.9,NA,121,NA,5.6,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Onychognathus,Onychognathus walleri,NA,Waller's Starling,NA,1.7,NA,82.75,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Pastor,Pastor roseus,NA,Rosy Starling,NA,NA,NA,75.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Poeoptera,Poeoptera kenricki,NA,Kenrick's Starling,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Poeoptera,Poeoptera lugubris,NA,Narrow-tailed Starling,NA,3,NA,39,NA,2.9,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Poeoptera,Poeoptera sharpii,NA,Sharpe's Starling,NA,3,NA,45.4,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Poeoptera,Poeoptera stuhlmanni,NA,Stuhlmann's Starling,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Rhabdornis,Rhabdornis grandis,NA,Grand Rhabdornis,NA,NA,NA,39.25,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Rhabdornis,Rhabdornis inornatus,NA,Stripe-breasted Rhabdornis,NA,NA,NA,39.25,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Rhabdornis,Rhabdornis mystacalis,NA,Stripe-headed Rhabdornis,NA,NA,NA,26.275,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sarcops,Sarcops calvus,NA,Coleto,NA,NA,NA,142,NA,8.85,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Saroglossa,Saroglossa spiloptera,NA,Spot-winged Starling,NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Speculipastor,Speculipastor bicolor,NA,Magpie Starling,NA,4,NA,64.25,NA,5.4,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Spodiopsar,Spodiopsar cineraceus,NA,White-cheeked Starling,NA,3.2,NA,82.25,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnia,Sturnia blythii,NA,Malabar Starling,NA,3.9,NA,38,NA,3.8,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnia,Sturnia erythropygia,NA,White-headed Starling,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnia,Sturnia malabarica,NA,Chestnut-tailed Starling,NA,3.9,NA,38,NA,3.8,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnia,Sturnia pagodarum,NA,Brahminy Starling,NA,3.9,NA,47.95,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnia,Sturnia philippensis,NA,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnia,Sturnia sinensis,NA,White-shouldered Starling,NA,4,NA,61,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnornis,Sturnornis albofrontatus,NA,White-faced Starling,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnus,Sturnus roseus,NA,NA,363.468,5,1,68.125,11,6.6,15,24,11,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnus,Sturnus unicolor,NA,Spotless Starling,NA,3.6,NA,87.8,8.5,7.7,NA,NA,8.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,NA,Common Starling,455.101,5,2,77.675,22.91666667,7,12,21,20.69166667,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Chamaea,Chamaea fasciata,NA,Wrentit,365,3.74,1.5,14.7,12.6,1.935,15.5,15.5,12.6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Chleuasicus,Chleuasicus atrosuperciliaris,NA,Pale-billed Parrotbill,NA,NA,NA,16.825,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Cholornis,Cholornis unicolor,NA,Brown Parrotbill,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Chrysomma,Chrysomma sinense,NA,Yellow-eyed Babbler,NA,4,NA,18,NA,2.13,NA,12.5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Conostoma,Conostoma aemodium,NA,Great Parrotbill,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Fulvetta,Fulvetta cinereiceps,NA,Grey-hooded Fulvetta,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Fulvetta,Fulvetta formosana,NA,Taiwan Fulvetta,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Fulvetta,Fulvetta ludlowi,NA,Brown-throated Fulvetta,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Fulvetta,Fulvetta manipurensis,NA,Manipur Fulvetta,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Fulvetta,Fulvetta vinipectus,NA,White-browed Fulvetta,NA,NA,NA,12,NA,1.87,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Horizorhinus,Horizorhinus dohrni,NA,Dohrn's Thrush-Babbler,NA,2.5,NA,19.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Lioparus,Lioparus chrysotis,NA,Golden-breasted Fulvetta,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Lioptilus,Lioptilus nigricapillus,NA,Bush Blackcap,NA,2,NA,29.425,NA,3.75,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Myzornis,Myzornis pyrrhoura,NA,Fire-tailed Myzornis,NA,NA,NA,11.95,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Paradoxornis,Paradoxornis guttaticollis,NA,Spot-breasted Parrotbill,NA,3,NA,26,NA,3.17,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Parophasma,Parophasma galinieri,NA,Abyssinian Catbird,NA,2,NA,21.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Pseudoalcippe,Pseudoalcippe abyssinica,NA,African Hill Babbler,NA,NA,NA,19.15,NA,2.54,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Pseudoalcippe,Pseudoalcippe atriceps,NA,Ruwenzori Hill Babbler,NA,NA,NA,16,NA,2.67,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Psittiparus,Psittiparus bakeri,NA,Rufous-headed Parrotbill,NA,NA,NA,33,NA,3.27,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Psittiparus,Psittiparus gularis,NA,Grey-headed Parrotbill,NA,NA,NA,29,5.75,2.88,NA,NA,5.75,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Psittiparus,Psittiparus margaritae,NA,Black-headed Parrotbill,NA,NA,NA,29,5.75,2.88,NA,NA,5.75,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Psittiparus,Psittiparus ruficeps,NA,White-breasted Parrotbill,NA,NA,NA,33,NA,3.27,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Rhopophilus,Rhopophilus pekinensis,NA,Chinese Hill Warbler,NA,NA,NA,17.85,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sinosuthora,Sinosuthora brunnea,NA,Brown-winged Parrotbill,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sinosuthora,Sinosuthora webbiana,NA,Vinous-throated Parrotbill,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Suthora,Suthora fulvifrons,NA,Fulvous Parrotbill,NA,NA,NA,6.325,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Suthora,Suthora nipalensis,NA,Black-throated Parrotbill,NA,NA,NA,5.5,NA,1.16,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Suthora,Suthora verreauxi,NA,Golden Parrotbill,NA,NA,NA,5.5,NA,1.16,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia althaea,NA,Hume's Whitethroat,364.234,4.7,1.5,12.2375,7.916666667,1.42,11.5,NA,7.5915,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,NA,Eurasian Blackcap,364.234,4.5,2,18.325,13.83333333,2.19,11,11,9.8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia balearica,NA,Balearic Warbler,NA,3.28,NA,9.9,NA,1.52,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia boehmi,NA,Banded Parisoma,NA,2.4,NA,NA,NA,1.4,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia borin,NA,Garden Warbler,364.234,4.5,1.5,19.55,24,2.23,11.5,10.5,19.0835,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia buryi,NA,Yemen Warbler,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia cantillans,NA,Subalpine Warbler,NA,4.05,NA,9.6,NA,1.42,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia communis,NA,Common Whitethroat,364.234,4.5,2,15.5,8.916666667,1.78,11,11,7.501666667,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia conspicillata,NA,Spectacled Warbler,NA,5,NA,9,NA,1.37,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia crassirostris,NA,Eastern Orphean Warbler,NA,4.2,1.5,22.375,NA,2.35,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia curruca,NA,Lesser Whitethroat,364.234,4.8,1.5,12.0375,7.916666667,1.42,11.5,NA,7.5915,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia deserti,NA,African Desert Warbler,NA,3.95,NA,9.325,NA,1.53,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia deserticola,NA,Tristram's Warbler,NA,3.9,NA,8.85,NA,1.25,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia hortensis,NA,Western Orphean Warbler,NA,4.2,1.5,22.375,NA,2.35,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia layardi,NA,Layard's Warbler,NA,3,NA,14.3,NA,1.7,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia leucomelaena,NA,Arabian Warbler,NA,2.75,NA,14.25,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia lugens,NA,Brown Parisoma,NA,2,NA,15,NA,1.72,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia melanocephala,NA,Sardinian Warbler,365,4.35,NA,11.7,8.333333333,1.73,NA,NA,7.95,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia melanothorax,NA,Cyprus Warbler,NA,4.31,NA,11.4,NA,1.68,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia minula,NA,Desert Whitethroat,364.234,4.8,1.5,12.075,7.916666667,1.42,11.5,NA,7.5915,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia mystacea,NA,Menetries's Warbler,NA,4.5,NA,9.9,NA,1.5,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia nana,NA,Asian Desert Warbler,NA,3.95,NA,9.325,NA,1.53,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia nisoria,NA,Barred Warbler,364.234,4.88,1.5,23.4,11.91666667,2.63,13,11.5,11.9,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia ruppeli,NA,Ruppell's Warbler,NA,4.5,NA,13.3,NA,1.76,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia sarda,NA,Marmora's Warbler,NA,3.28,NA,9.9,NA,1.52,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia subalpina,NA,Moltoni's Warbler,NA,4.05,NA,9.6,NA,1.42,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia subcaerulea,NA,Chestnut-vented Warbler,NA,3.4,NA,14.4,NA,1.71,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Sylviidae,Sylvia,Sylvia undata,NA,Dartford Warbler,NA,4,NA,10.75,NA,1.56,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Hemipus,Hemipus hirundinaceus,NA,Black-winged Flycatcher-shrike,NA,2,NA,10.2,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Hemipus,Hemipus picatus,NA,Bar-winged Flycatcher-shrike,NA,2.4,NA,9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Philentoma,Philentoma pyrhoptera,NA,Rufous-winged Philentoma,NA,2,NA,16.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Philentoma,Philentoma velata,NA,Maroon-breasted Philentoma,NA,2,NA,26.1,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Tephrodornis,Tephrodornis affinis,NA,Sri Lanka Woodshrike,NA,3,2,22,6.25,2.35,NA,NA,6.25,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Tephrodornis,Tephrodornis pondicerianus,NA,Common Woodshrike,NA,3,2,22,6.25,2.35,NA,NA,6.25,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Tephrodornis,Tephrodornis sylvicola,NA,Malabar Woodshrike,NA,2.8,NA,39.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Tephrodornithidae,Tephrodornis,Tephrodornis virgatus,NA,Large Woodshrike,NA,2.8,NA,39.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Batara,Batara cinerea,NA,Giant Antshrike,NA,2.4,NA,128.75,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra carbonaria,NA,Rio Branco Antbird,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra cinerascens,NA,Grey Antbird,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra ferdinandi,NA,Bananal Antbird,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra laeta,NA,Willis's Antbird,NA,2,NA,16.3,NA,2.565,NA,11,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra manu,NA,Manu Antbird,NA,NA,NA,18.15,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra melanaria,NA,Mato Grosso Antbird,NA,2,NA,19,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra nigrescens,NA,Blackish Antbird,NA,2,NA,17.5,NA,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra nigricans,NA,Jet Antbird,NA,2,NA,15.7,NA,2.65,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra serva,NA,Black Antbird,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cercomacra,Cercomacra tyrannina,NA,Dusky Antbird,NA,2,NA,16.65,NA,2.565,NA,11,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Clytoctantes,Clytoctantes atrogularis,NA,Rondonia Bushbird,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cymbilaimus,Cymbilaimus lineatus,NA,Fasciated Antshrike,NA,2,NA,36.65,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Cymbilaimus,Cymbilaimus sanctaemariae,NA,Bamboo Antshrike,NA,2,NA,35.8,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Dichrozona,Dichrozona cincta,NA,Banded Antbird,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Drymophila,Drymophila caudata,NA,East Andean Antbird,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Passeriformes,Thamnophilidae,Drymophila,Drymophila devillei,NA,Striated Antbird,NA,NA,NA,10.175,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
