class	order	family	genus	species	common_name	female_maturity_d	litter_or_clutch_size_n	litters_or_clutches_per_y	adult_body_mass_g	maximum_longevity_y	egg_mass_g	incubation_d	fledging_age_d	longevity_y	adult_svl_cm
Aves	Accipitriformes	Accipitridae	Accipiter	trivirgatus	Crested Goshawk	NA	2	NA	276	NA	NA	NA	NA	NA	38
Aves	Accipitriformes	Accipitridae	Accipiter	ventralis	Plain-breasted Hawk	547.875	4.25	1	138.5	19.9	19.3	33	24.25	12.58333333	29
Aves	Accipitriformes	Accipitridae	Accipiter	virgatus	Besra	NA	3.5	NA	113.5	NA	18	NA	NA	NA	30
Aves	Accipitriformes	Accipitridae	Aegypius	monachus	Cinereous Vulture	1999.074	1	1	9625	39	243	53.5	112.5	32.25	110
Aves	Accipitriformes	Accipitridae	Aegypius	occipitalis	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	77
Aves	Accipitriformes	Accipitridae	Aquila	adalberti	Spanish Imperial Eagle	1767.453	2.5	1	3262	56	132	43	71	44.5	76
Aves	Accipitriformes	Accipitridae	Aquila	africana	Cassin's Hawk-Eagle	NA	NA	NA	1060.125	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Aquila	audax	Wedge-tailed Eagle	1638.279	2	2	3466	40	143	43	79	33.2	95.5
Aves	Accipitriformes	Accipitridae	Aquila	ayresii	NA	NA	1.5	1	812	NA	72	45	75	NA	NA
Aves	Accipitriformes	Accipitridae	Aquila	chrysaetos	Golden Eagle	1460	2	1	4383	48	142	44	74.5	32	78
Aves	Accipitriformes	Accipitridae	Aquila	fasciata	Bonelli's Eagle	1090.404	2	1	2000	20	112	39.25	62.5	20	61
Aves	Accipitriformes	Accipitridae	Aquila	gurneyi	Gurney's Eagle	NA	NA	NA	3060	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Aquila	heliaca	Eastern Imperial Eagle	1635.606	2.5	1	3262	56	132.25	43	70.5	56	76
