baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Solyc00g500072.1	0	NA	NA	NA	NA	NA
Solyc00g500073.1	0.0630280666667566	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500074.1	0.821391493882066	0	4.12366119566038	0	1	NA
Solyc00g500075.1	0.226546094259711	-2.83573463237884	4.77603729607132	-0.593742145755742	0.552684589595948	NA
Solyc00g500076.1	0.36074305270209	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc00g500077.1	0.0762126002291614	0	4.85677794710338	0	1	NA
Solyc00g500078.1	9.68102559144693	0.383741134204389	0.810814902547632	0.473278343797887	0.636014610438137	0.994669724740326
Solyc00g500079.1	0	NA	NA	NA	NA	NA
Solyc00g500080.1	0.115622587086211	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc00g500081.1	0.0630280666667566	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g500082.1	0	NA	NA	NA	NA	NA
Solyc00g500083.1	0.0881137363125708	0	4.85677794710338	0	1	NA
Solyc00g500084.1	0.0980002152633473	0	4.85677794710338	0	1	NA
Solyc00g500085.2	0.053318661737665	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc00g160290.1	0	NA	NA	NA	NA	NA
Solyc00g500086.1	0.267406154828484	-0.18174587611687	4.85677794710338	-0.0374210800033105	0.970149265028576	NA
Solyc00g500087.1	0.914503117783823	-1.06112594006817	1.83548463920449	-0.578117581266202	0.563184737967298	NA
Solyc00g500088.2	44.2673253293957	0.0640678381130063	0.712364272881986	0.0899369052490651	0.928337353825505	0.999076998952386
Solyc00g500089.1	0.319905571351394	0	4.85677794710338	0	1	NA
Solyc00g160160.1	0	NA	NA	NA	NA	NA
Solyc00g160630.1	0	NA	NA	NA	NA	NA
Solyc00g500091.2	0	NA	NA	NA	NA	NA
Solyc00g160310.1	0	NA	NA	NA	NA	NA
Solyc00g160300.1	0	NA	NA	NA	NA	NA
Solyc00g011670.1	0	NA	NA	NA	NA	NA
Solyc00g011660.1	0	NA	NA	NA	NA	NA
Solyc00g500092.2	0	NA	NA	NA	NA	NA
Solyc00g500093.1	0.320233860723157	-1.14353122633841	4.85677794710338	-0.235450588598645	0.813859025439533	NA
Solyc00g160640.1	0	NA	NA	NA	NA	NA
Solyc00g500095.1	416.032346764558	-1.76869705418909	1.10219315357937	-1.60470698665225	0.108558303654349	0.764072374317458
Solyc00g500096.2	0.059729935300767	0	4.85677794710338	0	1	NA
Solyc00g011560.1	0	NA	NA	NA	NA	NA
Solyc00g500097.1	0	NA	NA	NA	NA	NA
Solyc00g500098.1	0	NA	NA	NA	NA	NA
Solyc00g500099.1	0	NA	NA	NA	NA	NA
Solyc00g500101.1	0.215845437461142	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc00g500102.1	0	NA	NA	NA	NA	NA
Solyc00g153980.1	0	NA	NA	NA	NA	NA
Solyc00g309530.1	0	NA	NA	NA	NA	NA
Solyc00g164580.1	0	NA	NA	NA	NA	NA
Solyc00g210860.1	0	NA	NA	NA	NA	NA
Solyc00g025400.2	0	NA	NA	NA	NA	NA
Solyc00g022070.1	0	NA	NA	NA	NA	NA
Solyc00g022080.1	0	NA	NA	NA	NA	NA
Solyc00g022090.1	0	NA	NA	NA	NA	NA
Solyc00g022100.1	0.279572631621035	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc00g500103.1	7.15315058367356	0.974093235744754	0.789062862793665	1.23449383018229	0.217018944374794	0.895736617916027
Solyc00g500104.2	0	NA	NA	NA	NA	NA
Solyc00g500106.1	0.143573303610253	0	4.85677794710338	0	1	NA
Solyc00g500107.1	0.143350232522932	0	4.85677794710338	0	1	NA
Solyc00g500108.1	0	NA	NA	NA	NA	NA
Solyc00g281110.1	0.342302944642928	0	4.85677794710337	0	1	NA
Solyc00g500109.1	0	NA	NA	NA	NA	NA
Solyc00g500110.1	0	NA	NA	NA	NA	NA
Solyc00g500111.1	1.52527158310798	0.780046151344383	2.54332266874875	0.306703573608356	0.759069009457732	NA
Solyc00g500112.1	0.595884677462794	0	3.65997987000266	0	1	NA
Solyc00g142160.1	0.0762126002291614	0	4.85677794710338	0	1	NA
Solyc00g142170.2	0	NA	NA	NA	NA	NA
Solyc00g500113.1	0.0980002152633473	0	4.85677794710338	0	1	NA
Solyc00g500114.1	0.0552364962103614	0	4.85677794710338	0	1	NA
Solyc00g500116.1	1.13594851905267	0.780044777324967	3.16091253715557	0.246778349022877	0.805079767334335	NA
Solyc00g500118.1	0	NA	NA	NA	NA	NA
Solyc00g500119.1	0	NA	NA	NA	NA	NA
Solyc00g500120.1	0.10663732347533	1.56624489861831	4.82967538408769	0.324296101509972	0.745713870887142	NA
Solyc00g500121.1	0	NA	NA	NA	NA	NA
Solyc00g015600.1	0.0554595672976822	0	4.85677794710338	0	1	NA
Solyc00g500122.1	0	NA	NA	NA	NA	NA
Solyc00g160650.1	0	NA	NA	NA	NA	NA
Solyc00g160660.1	0	NA	NA	NA	NA	NA
Solyc00g160320.1	0	NA	NA	NA	NA	NA
Solyc00g160010.1	0	NA	NA	NA	NA	NA
Solyc00g160330.1	0	NA	NA	NA	NA	NA
Solyc00g007330.1	0.0552364962103614	0	4.85677794710338	0	1	NA
Solyc00g007340.1	0	NA	NA	NA	NA	NA
Solyc00g007350.1	0	NA	NA	NA	NA	NA
