baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Solyc02g071090.3	670.567103684753	-0.0712300300124406	0.362366888071556	-0.196568815631893	0.844164975973137	0.999076998952386
Solyc02g071100.3	24.4797257013929	-0.643877829222987	0.666212406351482	-0.966475290889867	0.333806405269377	0.954781130056689
Solyc02g071110.3	184.67201149835	0.505530327868967	0.463447591452707	1.0908036576139	0.275359286700762	0.93182175983816
Solyc02g071120.3	1083.73494776429	0.21939164406073	0.201752954660007	1.08742716769847	0.276848070028883	0.93214962845951
Solyc02g071130.5	265.775043278617	-1.28119149136252	0.508050530489743	-2.52177965472746	0.0116762822642714	0.289160639578844
Solyc02g071140.3	393.08547661035	0.0108214497187989	0.233665626450201	0.0463116885576885	0.963061823184458	0.999076998952386
Solyc02g071150.3	3347.47398689669	0.0257037098941778	0.228919251301923	0.112282867203148	0.910599125884515	0.999076998952386
Solyc02g071160.4	456.450773184704	0.370584475879027	0.196784149317433	1.88320287566066	0.0596728794971853	0.627403485275219
Solyc02g071170.3	873.841079639235	0.0481618914398146	0.0860153948072038	0.5599217622353	0.575532804187394	0.990178563446412
Solyc02g071180.3	1596.67388018224	-0.0677355373186238	0.24163927819008	-0.280316750761609	0.779234500498289	0.999076998952386
Solyc02g071190.4	164.319477474892	-0.294290688003272	0.234591415374397	-1.25448191500783	0.209666895104061	0.891022970188883
Solyc02g071200.4	94.482392371919	0.0864234613468287	0.490702881315899	0.176121772741726	0.860198276111348	0.999076998952386
Solyc02g071210.3	605.692093379717	0.0308174435210459	0.272651879906369	0.113028538558505	0.910007929690724	0.999076998952386
Solyc02g071220.3	478.750858951596	0.41350919354438	0.662823496898589	0.623860191256385	0.53271940594047	0.984058953091141
Solyc02g071240.3	238.956064280825	-0.0796294124799127	0.219866384015409	-0.362171838303084	0.717223622854427	0.999076998952386
Solyc02g071250.3	1641.40220168853	-0.180176593041721	0.223583681345552	-0.805857529303563	0.420325002185349	0.972511417591325
Solyc02g071260.3	354.586184744968	-0.050245277442805	0.208891939802447	-0.240532389571004	0.809917556903627	0.999076998952386
Solyc02g071270.3	1131.20063448275	-0.45089911492421	0.172092345345106	-2.62009977271213	0.00879040446768388	0.243609047866936
Solyc02g071280.3	200.069299855719	-0.16931499415171	0.244826055688161	-0.691572609278848	0.489205767837518	0.977211747696116
Solyc02g161570.1	0	NA	NA	NA	NA	NA
Solyc02g150130.2	1176.66208453709	-0.0860404042512903	0.181119692503546	-0.475047208075432	0.634753325407562	0.994491677435554
Solyc02g071290.1	0.976017338997646	-0.181747596421248	2.15821825599726	-0.0842118705632334	0.932887980370187	NA
Solyc02g071300.1	15.1066679538289	-0.466229881246774	0.676364286448968	-0.689317710274981	0.490623355306847	0.977211747696116
Solyc02g071310.3	510.812671688843	0.417995548169803	0.356645148228593	1.17202084549847	0.241188687084626	0.91539142280341
Solyc02g071320.4	1747.2198453166	-0.0206094357305999	0.202357216848161	-0.101846803645576	0.918878274835298	0.999076998952386
Solyc02g071330.4	779.061060378695	0.0782733432865432	0.156253773595966	0.500937298890068	0.616415251294241	0.992086474026171
Solyc02g071340.2	51.4030947314134	0.582713607677752	0.538854254608172	1.08139372139035	0.279522013351265	0.934950487070212
Solyc02g071350.3	148.546434394821	-0.815652246512111	0.54164778181548	-1.50587203325791	0.132100027138875	0.805061803112271
Solyc02g071370.1	0	NA	NA	NA	NA	NA
Solyc02g071380.2	59.9440494022137	0.160203920577956	0.796688093770698	0.201087378900965	0.840630250606261	0.999076998952386
Solyc02g071387.2	0.317896636096829	-0.18174587611687	4.85677794710338	-0.0374210800033106	0.970149265028576	NA
Solyc02g071365.2	1.82738583751759	1.60466461746631	2.34347912430392	0.684736040882354	0.493510501822635	NA
Solyc02g071400.3	0.527435118104408	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc02g071410.3	743.417950632379	0.131803583096543	0.256541411453128	0.513771177721238	0.607411981268392	0.990728778832474
Solyc02g071420.4	30.2672876908294	-7.2242221817154	1.46950487521798	-4.91609269458448	8.82886058353662e-07	0.000244757867268648
Solyc02g071430.3	101.197797818245	-0.865330258776708	0.496101174927017	-1.74426165973908	0.0811134738879915	0.697809973435911
Solyc02g071435.1	9.82666869935891	0.18735584587849	0.99646499787487	0.188020498741108	0.850860582079929	0.999076998952386
Solyc02g071440.3	616.043319792289	0.241210878725942	0.360173058034985	0.669708278686719	0.503043773196139	0.97741465200078
Solyc02g071450.3	1041.97197322681	0.00865481855286706	0.2112151846585	0.0409763084356859	0.967314783124668	0.99911743370685
Solyc02g071460.3	0.800599603154396	3.22977435622537	2.2290778979973	1.44892843768589	0.147357568509014	NA
Solyc02g071470.5	5601.62325113912	0.4533361504744	0.304553678630322	1.48852626739957	0.136612160173259	0.812761782294225
Solyc02g071480.3	0.806097141814832	0.484462327228146	2.38260326842726	0.203333191743641	0.838874614105397	NA
Solyc02g071500.2	177.071916479471	-0.095631161832827	0.304775205482144	-0.313776055639244	0.753691131439384	0.999076998952386
Solyc02g071510.3	1940.76922761737	-0.241972512441746	0.219971104351609	-1.10001953736146	0.271323609470784	0.928940362692351
Solyc02g071520.3	138.403911521324	0.0231006192444749	0.204760631515227	0.112817679226375	0.910175101832408	0.999076998952386
Solyc02g071530.2	35.993172250315	0.170352871709895	0.548691791606185	0.3104709680661	0.756202833570863	0.999076998952386
Solyc02g071535.1	2.50914258635826	-1.12936933049368	1.65415194592895	-0.682748240434133	0.494765941218165	0.977211747696116
Solyc02g071560.5	2701.60933282225	-1.09761852813034	0.633111987564754	-1.73368779882419	0.0829734925595201	0.701662307975207
Solyc02g071570.4	370.89255675514	0.0256865075098302	0.175445650887163	0.146407205763968	0.883599939229715	0.999076998952386
Solyc02g071590.3	34.6638997585344	0.024554139775137	0.454977664855278	0.0539677915463109	0.956960825452159	0.999076998952386
Solyc02g071600.4	226.033633950119	0.178530373159581	0.206927341910335	0.862768407071801	0.388264812628829	0.965891800653175
Solyc02g071610.3	0.326496278437399	0.780039474104671	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc02g071620.3	7.9429888037821	1.3072919388235	1.54561099047942	0.845809163415696	0.397659212737847	0.967151982150322
Solyc02g071630.1	0.114627672789445	0	4.85677794710338	0	1	NA
Solyc02g071640.4	39.0790365416254	-0.0897489247032541	0.380110070442374	-0.23611298853199	0.813344995451298	0.999076998952386
Solyc02g071660.4	0.0674677812439482	0	4.85677794710338	0	1	NA
Solyc02g071670.3	0	NA	NA	NA	NA	NA
Solyc02g071680.1	20.3599093100311	0.248041499345766	0.69451893925605	0.357141447591713	0.72098591707464	0.999076998952386
Solyc02g071685.2	25.7720891018866	0.565526385796298	0.484574542387264	1.16705756561255	0.243187123010902	0.917642249539226
Solyc02g161230.1	0	NA	NA	NA	NA	NA
Solyc02g071690.2	41.8658177426446	1.42247133000614	0.737141863819706	1.9297117689602	0.0536425609123767	0.602437013868488
Solyc02g071700.3	686.806177609712	1.01786713315618	0.336985209799053	3.02050981336285	0.00252349530548976	0.119933571995015
Solyc02g071710.3	4.38673164298217	-0.280852725318958	1.07203247540044	-0.261981546047894	0.793335669559618	0.999076998952386
Solyc02g071720.2	39.6804540469212	-0.0977323477282245	0.356873990205834	-0.273856740503435	0.784194717129741	0.999076998952386
Solyc02g071740.3	2133.78043222698	-0.167598623086536	0.222033786789669	-0.754833872402045	0.450348667199693	0.976330482795946
Solyc02g071750.3	371.685073115066	-0.0541565475794717	0.405631229968341	-0.133511780105537	0.89378864849894	0.999076998952386
Solyc02g071760.4	1.23788279276005	2.62962513727518	3.44814697087333	0.762619795353202	0.445690175507014	NA
Solyc02g071770.3	81.6190048276919	0.527076585756095	0.60223833901193	0.8751960006745	0.381467268923734	0.965312101298947
Solyc02g071780.3	1007.46045033193	0.64582503334919	0.474980798767279	1.35968661264898	0.173929116325128	0.856603130688235
Solyc02g071790.4	1.28655517590322	0.738788986949643	1.90886333179897	0.387030844294853	0.698733373511361	NA
Solyc02g071800.3	0	NA	NA	NA	NA	NA
Solyc02g071810.4	6.64215938556042	0.227120155218213	1.19780626850735	0.189613430142789	0.849612062404309	0.999076998952386
Solyc02g071820.5	2132.09346671095	-0.740993527889231	0.452737777813118	-1.63669471425267	0.101694273971541	0.747931232865042
Solyc02g071840.1	0	NA	NA	NA	NA	NA
Solyc02g071850.1	0.185803992227475	0	4.85677794710338	0	1	NA
Solyc02g071860.4	763.690585635092	0.390247254503854	0.332764512548141	1.17274300530288	0.240898880017405	0.91539142280341
Solyc02g071870.4	493.395231595474	-0.256788108004646	0.257346984180438	-0.997828316591423	0.318362616662083	0.948629143022603
Solyc02g071880.3	771.025042317159	-0.144778554679213	0.192207462591114	-0.753241069454219	0.451305064058738	0.976330482795946
Solyc02g071890.3	1240.89023981571	0.14018149645877	0.133737588137018	1.04818322516142	0.294554197680078	0.941321682436961
Solyc02g071900.3	275.171113866735	-0.0912799205811805	0.130435595197745	-0.699808364755009	0.484046990190877	0.976998832925802
Solyc02g071910.1	3.63917881406624	1.38467724819548	1.77210942047331	0.781372319450597	0.434583546554424	0.975055904625589
Solyc02g071920.3	489.314053177018	0.00125740722337925	0.127308617491322	0.00987684296756238	0.9921195476126	0.999816728329297
Solyc02g071940.1	180.151420195865	0.107273542276995	0.234677027010946	0.457111391103447	0.647590983117077	0.99561536276123
Solyc02g071950.1	847.490442873313	-0.369371250254396	0.521381128748248	-0.708447678459704	0.47866729298445	0.976653193216645
Solyc02g071970.1	68.3912376356256	-2.01828729661091	0.715937315252689	-2.81908381308294	0.00481609409427632	0.174500632654896
Solyc02g071980.3	1036.12133219841	0.059697988776509	0.145593285568158	0.410032568078574	0.681782056956151	0.997075158114377
Solyc02g071990.3	636.495620530895	0.0875348341522221	0.283056424361103	0.3092487102167	0.757132343188911	0.999076998952386
Solyc02g072000.3	317.364402015596	0.186793654027297	0.212419830743683	0.879360713984805	0.379205726061137	0.965312101298947
Solyc02g072010.4	42.6913820571603	0.246040174196226	0.358449667726121	0.68640089906351	0.492460337692931	0.977211747696116
Solyc02g072030.1	44.0765916116132	-0.800957346067983	0.51344363416277	-1.55997132455257	0.11876665776776	0.781807991180625
Solyc02g072040.3	16.62755947287	-0.3600295934092	0.551217787798873	-0.653153075569047	0.513657598162974	0.980059756595645
Solyc02g072050.2	8.47541642149882	0.112224722986593	0.924237592039232	0.121424105612261	0.9033551246233	0.999076998952386
Solyc02g072060.3	0	NA	NA	NA	NA	NA
Solyc02g072070.4	53.5741752605235	-0.72429269489831	0.415082543048645	-1.74493653618535	0.0809959166541652	0.697541564714571
Solyc02g072080.1	1436.1270315998	-0.212274701875032	0.379271978023156	-0.559689916933626	0.57569096110711	0.990178563446412
Solyc02g072090.2	609.142343200937	0.145164994579284	0.337735476682176	0.429818614275722	0.667327591245571	0.997075158114377
Solyc02g072100.3	72.6239111441682	0.206043311306631	0.359212725318341	0.573596915655011	0.566240599422767	0.989055347530816
Solyc02g072105.1	334.532486286898	-0.0605011647707758	0.19626093427521	-0.308269014382337	0.757877641640294	0.999076998952386
Solyc02g072120.3	74.6216067900849	0.173692601788369	0.322468795662252	0.538633827907774	0.590139541216327	0.990178563446412
Solyc02g072130.3	12249.6242809231	0.135692868132865	0.159265153916528	0.851993451147401	0.394217726837043	0.96625355548347
Solyc02g072140.1	125.679779390407	0.161745189746754	0.577804370072887	0.279930713792198	0.77953066265454	0.999076998952386
Solyc02g072150.3	934.181997735995	0.48589195907969	0.607614917621488	0.799670885273385	0.423901505780634	0.973700425175548
Solyc02g072160.4	83.920239795509	-0.260927222715116	0.454365938755501	-0.574266687837099	0.565787347810787	0.989055347530816
Solyc02g161250.1	0	NA	NA	NA	NA	NA
Solyc02g072170.3	18.8200373741924	0.191814663576304	0.600242553310571	0.319561921290604	0.74930044422834	0.999076998952386
Solyc02g072180.3	908.531497667336	0.163451278606073	0.203376942116606	0.803686381086203	0.421578121366777	0.972699816232334
Solyc02g072190.5	1232.19241291123	-0.0562380823274575	0.251242768727714	-0.223839605861078	0.822882110760306	0.999076998952386
Solyc02g072210.1	81.8103446963983	0.206946587752083	0.741277939682622	0.279175430258571	0.780110198134125	0.999076998952386
Solyc02g072220.1	67.2368185942305	0.649654422658905	0.647536919659406	1.00327008844625	0.315730564025871	0.948140257957862
Solyc02g072230.3	487.185293270116	-0.0487225575670759	0.111929280506761	-0.435297692851092	0.663346359337336	0.997075158114377
Solyc02g072240.3	569.773550525196	0.676909215167942	0.652076435759186	1.03808262045207	0.299231591921787	0.942361755137666
Solyc02g072250.1	6.19951488711637	0.677055640866998	0.926420973654928	0.730829353091899	0.464883392013576	0.976609225535318
Solyc02g072260.5	61.6422979016788	0.373046791519584	0.430031661477776	0.867486803733552	0.385675339114384	0.965629325483009
Solyc02g072270.3	164.901046084735	-0.0107649748963813	0.235305322111775	-0.045748964790808	0.963510336379507	0.999076998952386
Solyc02g072280.1	8.44716266017844	0.214906941652532	0.950003918107112	0.226216900326827	0.821032726727485	0.999076998952386
Solyc02g072290.1	25.6462494951865	-0.0682968968375606	0.704595347713451	-0.0969306667425457	0.922781454929815	0.999076998952386
Solyc02g072300.4	2806.60045227364	-0.157454421561379	0.164985570820896	-0.954352679315864	0.339905150771163	0.957676024501596
Solyc02g072310.3	143.46173118177	-0.0378573492425476	0.35426569765944	-0.106861458765732	0.914898889503895	0.999076998952386
Solyc02g072320.1	121.412284062365	0.0695521107687465	0.279112543775574	0.249190200583286	0.803213659192702	0.999076998952386
Solyc02g072330.3	24.1999335465836	0.404347095012555	0.507040205435914	0.797465547460735	0.425180704237262	0.974387546899586
Solyc02g072340.1	5.19882140468588	0.204581541541851	0.917091238871195	0.223076541210513	0.823475935739872	0.999076998952386
Solyc02g072350.1	9.07023519850961	0.491544346202692	0.701961183664297	0.70024434062976	0.483774724851077	0.976998832925802
Solyc02g072370.1	455.110122960513	0.285398108627713	0.743925406577493	0.383638071914652	0.701246717958005	0.997609116838616
Solyc02g072400.1	51.895287065411	-0.178689627696907	0.528023244296029	-0.338412427155815	0.735052410496151	0.999076998952386
Solyc02g072405.1	0.932619253242433	-1.32463749979757	2.36064520719075	-0.561133666237773	0.574706419074046	NA
Solyc02g072410.1	5.32226416949526	-0.804311512520696	1.18995490140637	-0.675917643240184	0.499092935259664	0.977211747696116
Solyc02g072420.1	0.111785303570889	-1.87187934467759	4.83118300327433	-0.387457760016319	0.698417350135132	NA
Solyc02g072423.1	0.0554595672976822	0	4.85677794710338	0	1	NA
Solyc02g072427.1	4.13632333813742	1.63854340191077	1.05484690212322	1.55334712422501	0.12034022779127	0.786254211364834
Solyc02g072440.4	4.06715776774405	1.06827263468801	1.39281543503728	0.766987935238823	0.443088688768252	0.975385872995909
Solyc02g072470.4	0.589241240072087	-1.92405520592197	4.82862867332526	-0.39846824763126	0.690285059351848	NA
Solyc02g072480.4	192.02839674701	-0.167307950642076	0.581562608415421	-0.287686911471043	0.773586409800663	0.999076998952386
Solyc02g072490.3	204.58346915694	-0.110449431083715	0.328069278621882	-0.336664961582747	0.736369479536435	0.999076998952386
Solyc02g072500.3	260.32387245803	-0.275454913611486	0.349769191643607	-0.787533379704172	0.43096969619962	0.974884921678869
Solyc02g072510.3	647.934051756557	0.000247775125334825	0.126417103310493	0.0019599810377419	0.998436162391773	1
Solyc02g072520.3	383.679131514699	0.0586061100752202	0.267937025918812	0.2187309121397	0.826859667594071	0.999076998952386
Solyc02g072530.3	2164.99515537334	0.338114665168687	0.204274824052652	1.65519498908753	0.0978849513605788	0.739644516783794
Solyc02g072540.3	1.39179880604819	1.63642032447017	3.03551896328304	0.539090792798184	0.589824208315712	NA
Solyc02g072550.1	0.383474375134852	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc02g072560.1	0.218006506157707	0.78003947410467	4.85677794710338	0.160608428592024	0.872401816029289	NA
Solyc02g072570.2	37.3735932765056	0.483139001062219	0.596233011795497	0.810319105960426	0.417756797191055	0.972031532529405
Solyc02g160120.1	0	NA	NA	NA	NA	NA
Solyc02g073570.1	0	NA	NA	NA	NA	NA
Solyc02g073580.1	0.194248844624302	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc02g076630.1	12.0647080538646	-2.99990945817053	1.31515619722506	-2.28102902491754	0.0225467294127501	0.4000314405772
Solyc02g076640.1	0.0588681389033779	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc02g076650.1	0	NA	NA	NA	NA	NA
Solyc02g076660.3	1301.66552329724	0.0228905014355342	0.266221472004275	0.0859829271591085	0.931479989111683	0.999076998952386
Solyc02g076670.3	680.551495149427	-0.064630559886393	0.317229982271922	-0.203734084097364	0.838561305514975	0.999076998952386
Solyc02g076680.3	173.795810290044	-1.17338912233746	0.475095377964299	-2.46979696448579	0.0135189757795429	0.313102238028862
Solyc02g076690.3	365.620417964625	0.00203819558296792	0.378284170265597	0.00538800125190774	0.995701017787835	0.999816728329297
Solyc02g076700.1	17.7693323029767	-0.242649077442965	0.811105360850472	-0.299158517690647	0.764819098769927	0.999076998952386
Solyc02g076710.3	34.0593127952119	0.247120156584141	0.446277664060886	0.553736331626999	0.579759306939516	0.990178563446412
Solyc02g076720.3	2062.94240717051	-0.253085863397034	0.243714869922201	-1.03845064307248	0.299060302568107	0.942361755137666
Solyc02g076730.4	1762.52461384895	-0.481664209310643	0.267702934972902	-1.79924889265558	0.0719793185115752	0.666278027296578
Solyc02g076740.3	0	NA	NA	NA	NA	NA
Solyc02g076760.3	331.471808706225	0.0451064315358332	0.212684358271605	0.21208156491805	0.832043401638039	0.999076998952386
Solyc02g076770.1	0.768188283069493	-2.46549044055866	2.66186789722509	-0.926225694043213	0.354328702337696	NA
Solyc02g076780.3	246.372410257934	0.0502952628578109	0.255434303387199	0.196900972934599	0.843905032292749	0.999076998952386
Solyc02g076790.4	448.953713933631	0.124636823472112	0.193385991348678	0.644497683637226	0.519252759206308	0.981223867763349
Solyc02g076800.1	424.995563329878	0.166607309484392	0.266923918357623	0.624175272525306	0.532512484298147	0.984058953091141
Solyc02g076810.4	784.273956217115	-0.114831665723713	0.149555995751546	-0.76781719881348	0.44259579516634	0.975385872995909
Solyc02g076830.1	184.648294562721	0.775244758975772	0.509924358014399	1.52031325193899	0.128432264997131	0.798687025398457
Solyc02g076840.3	676.284804392694	-0.0995961045622702	0.274609298536444	-0.362682928411663	0.716841753805422	0.999076998952386
Solyc02g076850.2	220.627201460142	0.221120737739575	0.364673294145764	0.606352977553629	0.544280386242713	0.987259983708548
Solyc02g076855.2	0	NA	NA	NA	NA	NA
Solyc02g076860.3	1.11391944492508	0.78004672890406	2.23330894237	0.349278469317492	0.726880260828156	NA
Solyc02g076870.4	635.527065759609	-0.0812057919677399	0.150863503702456	-0.538273273355098	0.59038840004952	0.990178563446412
Solyc02g076880.4	102.210236210855	-0.368244817578938	0.379379985184133	-0.97064903779837	0.331723077632223	0.954139994046199
Solyc02g076890.1	489.711036118449	0.572443406728723	0.557062333263398	1.02761104556328	0.304132826337384	0.944451542814236
Solyc02g076900.5	328.544486213108	0.0141655027322255	0.382679454892536	0.0370166272349359	0.970471748209675	0.99911743370685
Solyc02g076910.3	824.384066855603	0.499449209355776	1.13369005382468	0.440551813673242	0.659537493896759	0.997075158114377
Solyc02g076920.3	530.949663573289	-0.0499323060083559	0.46945912999594	-0.106361348236614	0.915295658712692	0.999076998952386
Solyc02g076930.2	153.025643738826	0.0414153393383746	0.366024037918734	0.113149233514466	0.909912242883249	0.999076998952386
Solyc02g076940.2	17.6873085435563	0.710479282386802	0.583223802353749	1.21819322105765	0.223150555130887	0.900461985066656
Solyc02g076950.2	40.8449900626312	0.353473394060292	0.405626321772256	0.871426174997475	0.383521499042385	0.965629325483009
Solyc02g076945.2	88.170016681227	0.414838340524213	0.29244619463159	1.41851167202503	0.15604143341707	0.836483801196796
Solyc02g076970.2	986.394756851514	0.468724257594817	1.02376536871685	0.45784343944189	0.647064924637289	0.99561536276123
Solyc02g076980.5.1	533.952518796803	-2.17619818486714	0.465552856746055	-4.67443847316825	2.94758983226924e-06	0.000698825467047378
Solyc02g076990.3	46.0457904227718	1.40007949926903	0.845973865207486	1.65499143277392	0.0979262357551791	0.739644516783794
Solyc02g077000.3	799.527949288911	1.03322517781017	0.346247310846266	2.98406701061405	0.00284444469241776	0.128834586426242
Solyc02g077010.1	5.57331968896965	2.32743739784621	1.21637849294887	1.91341544703227	0.0556948884294686	0.612912826266458
Solyc02g077030.3	151.18078182105	0.271857749317682	0.556342174358434	0.488652059555226	0.62508804962323	0.993196000957492
Solyc02g077040.4	590.703506688753	-2.05900700267477	0.476587537024313	-4.32031230932027	1.55808530712223e-05	0.00272029709351947
Solyc02g077050.3	4.85549320282991	-1.02088818424809	0.99267569346877	-1.02842065234894	0.303751997877945	0.94441905422407
Solyc02g077060.2	89.5126250456395	-0.676477653606182	0.699625755790581	-0.966913593456488	0.333587230589295	0.954626706041134
Solyc02g077070.3	70.7615695981614	-0.200726730426946	0.476845257443582	-0.420947314235783	0.673793554393645	0.997075158114377
Solyc02g077080.3	2423.88978139872	0.306617410765309	0.249872344933785	1.22709622325976	0.219786427204943	0.898341894160018
Solyc02g077090.5	378.382885427938	0.170845311063409	0.361439013211077	0.472680880643166	0.636440869119484	0.994719588339815
Solyc02g077100.3	2437.91262497406	0.351998410294964	0.232100910947482	1.51657487623825	0.129374052540424	0.79935268786453
Solyc02g077110.4	12.2160859199678	0.0524281969066644	0.864924110592315	0.0606159503066236	0.951665070375231	0.999076998952386
Solyc02g077130.2	8.62101198059352	0.458680256768684	1.08018775907308	0.424630119084374	0.671106333101686	0.997075158114377
Solyc02g077140.3	2.54741359374955	-0.417720815150909	1.82567739937769	-0.228803191239205	0.819021886332286	0.999076998952386
Solyc02g077150.1	0.728805582818058	0	4.26765664368438	0	1	NA
Solyc02g077160.3	379.40724006398	-0.139041013942621	0.241294743440255	-0.576228938766946	0.564460447319849	0.989055347530816
Solyc02g077170.3	7.49830564604065	0.699012724849536	0.816196014049383	0.856427515960944	0.391761350133899	0.965891800653175
Solyc02g077180.1	1.33205772747413	-2.07226986309195	1.6823918788209	-1.23174029141433	0.218046113789534	NA
Solyc02g077190.4	87.4054738678584	0.286743544346927	0.416897555035781	0.687803372515141	0.491576612064408	0.977211747696116
Solyc02g077210.1	0	NA	NA	NA	NA	NA
Solyc02g077220.3	540.199918241111	0.302819786110348	0.276711037944617	1.09435383698339	0.273799821849421	0.931215611787574
Solyc02g077230.3	110.025863506243	-0.195151188643946	0.358103053703477	-0.544958180684878	0.585782279921909	0.990178563446412
Solyc02g077250.2	27.939187766787	0.287790960459954	0.404144218787288	0.712099659184847	0.476403065318358	0.976653193216645
Solyc02g077260.3	945.800829781221	0.244340189257449	0.303281598427213	0.805654515554429	0.420442082596015	0.972511417591325
Solyc02g077270.5	336.667734245738	0.126646794532934	0.323612452890498	0.39135327890422	0.695536121907771	0.997075158114377
Solyc02g077290.2	37.33406639722	-0.901067547776783	0.714662636646972	-1.26082923826042	0.207370377160645	0.889375202619926
Solyc02g077300.2	18.2372467013258	1.03429608172474	0.496702702213094	2.08232424972999	0.0373128623588667	0.520094464897421
Solyc02g077310.4	189.189141714112	-0.0724471988987964	0.207138288290108	-0.349752812465701	0.726524215144087	0.999076998952386
Solyc02g077320.4	229.434376396943	-0.194215892713595	0.221788056525792	-0.875682377833586	0.381202727955557	0.965312101298947
Solyc02g077330.3	5.56574942943782	-1.53038468771783	1.19608467408448	-1.27949527393555	0.200722702816541	0.879838390464858
Solyc02g077340.1	1.11885741069958	-1.87552685995141	4.27895114214029	-0.438314623759245	0.661158226510732	NA
Solyc02g077350.1	0.884509956688885	-3.02159275661231	2.56835763623547	-1.1764688507482	0.23940757272138	NA
Solyc02g077360.1	6.02536679929637	-0.138968267720484	1.2561624728346	-0.110629214552871	0.911910379815971	0.999076998952386
Solyc02g077370.1	229.840806540388	-1.49175300994929	0.646108033452696	-2.30882906992752	0.0209530682197525	0.389688378798614
Solyc02g077380.2	0.566383650212938	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc02g077390.2	0.297862429035617	2.73614647681617	4.76454603564429	0.574272229997705	0.565783598018803	NA
Solyc02g077400.4	155.05253528331	0.140023591323419	0.458654909501999	0.305291818363952	0.760143906692561	0.999076998952386
Solyc02g077410.3	5756.05862124128	0.0803614860523109	0.202476702588799	0.396892506766636	0.691446730102277	0.997075158114377
Solyc02g077420.3	963.48073296479	0.688723905804767	0.974918372383362	0.706442636957449	0.47991291373194	0.976653193216645
Solyc02g077430.5	1432.69898936956	0.109906044088532	1.11024024424988	0.0989930284528546	0.92114380540459	0.999076998952386
Solyc02g077440.3	1053.62204436444	-0.315164740774712	0.356806956000184	-0.883292030816096	0.37707850841249	0.965312101298947
Solyc02g077450.3	1681.97459672723	-0.1055968119447	0.140565701382591	-0.75122743959629	0.45251578909058	0.976330482795946
Solyc02g077460.3	399.229640709123	0.185685884172017	0.233960273727551	0.793664160216576	0.427390970020858	0.97454718910968
Solyc02g077470.4	629.230729922476	0.749059182063163	0.451046357239747	1.66071440338673	0.0967708192460229	0.735540526189583
Solyc02g077480.1	1763.33116670124	0.337329295112662	0.374443547045158	0.900881582216128	0.367651284774716	0.965312101298947
Solyc02g077490.4	0.573154453270095	0.619649718498428	3.18757565393168	0.194395297797599	0.845866371508627	NA
Solyc02g077500.2	0.0865252931858461	-1.14353122633841	4.85677794710338	-0.235450588598646	0.813859025439533	NA
Solyc02g077510.4	2.3975743656572	0.500956937190087	1.3741906402147	0.364546899483915	0.715449658792668	NA
Solyc02g077520.3	1206.81351369425	-0.104622503948913	0.359146865911893	-0.291308414131	0.770815452829627	0.999076998952386
Solyc02g077530.2	0.865345885400049	3.73163027354898	2.4196178544545	1.5422395179797	0.123015400281619	NA
Solyc02g077540.4	6.57168558569196	1.21765451403015	1.04384753628709	1.1665060956711	0.243409885485113	0.917646814905824
Solyc02g077550.4	9.68143445987281	0.563849931504089	0.885109916229556	0.637039446926559	0.524099149335421	0.982165552990997
Solyc02g077560.3	1360.47851067993	-0.396594116249211	0.168726552582549	-2.35051395396215	0.0187475047106238	0.370978303763756
Solyc02g077570.3	21.0520932319656	0.3391462483006	0.804905087837328	0.421349365813851	0.673499987343416	0.997075158114377
Solyc02g077580.1	5.42062142624692	0.955779634404983	1.05726483802143	0.904011558914257	0.36598927226207	0.965312101298947
Solyc02g077590.1	7.2098027686127	3.46478875850559	1.61780786515316	2.14165651752321	0.0322211321669415	0.480501338234607
Solyc02g077600.3	577.916265991673	-0.0242097152010666	0.255857383630048	-0.0946219134174849	0.924615143538138	0.999076998952386
Solyc02g077610.3	74.9742486743584	0.538370306950875	0.395751750660569	1.36037378496053	0.173711669862497	0.856603130688235
Solyc02g077620.1	86.8367661671026	0.207299709879674	0.269197872438757	0.770064443681052	0.441261666318176	0.975385872995909
Solyc02g077630.3	691.899316931189	0.0445931983750209	0.231831925502446	0.192351412681298	0.847466948714683	0.999076998952386
Solyc02g077640.1	55.9886221676406	0.273381540462502	0.370747679082485	0.737378966576563	0.460891922738874	0.976501188013058
Solyc02g077650.2	22.620166921736	-0.226782780447654	0.868430009259351	-0.261141114459031	0.793983686611961	0.999076998952386
Solyc02g077660.3	2723.13534629901	-0.246656253203591	0.220807900406044	-1.11706262660899	0.263967548827803	0.926262418600068
Solyc02g077670.3	313.588433937202	-0.0385249179824801	0.345102373747622	-0.111633303370593	0.911114164785845	0.999076998952386
Solyc02g077680.4	489.370083636574	-0.29101263118911	0.253225388491096	-1.14922375249645	0.250463729015957	0.921257053599299
Solyc02g077690.4	149.80273180695	-0.102470867137483	0.271392511928705	-0.377574408406678	0.705746778898193	0.997860180401875
